,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
0,False,/jDai0rdlBHhcY8vpJ4XmTIDQU5i.jpg,[18],389015,en,"I, Tonya","Competitive ice skater Tonya Harding rises amongst the ranks at the U.S. Figure Skating Championships, but her future in the sport is thrown into doubt when her ex-husband intervenes.",34.312342,/6gNXwSHxaksR1PjVZRqNapmkgj3.jpg,2017-12-08,"I, Tonya",False,7.5,930
1,False,/36h3Sw4y4COqMeNg31ST0h5xRae.jpg,"[12, 16, 35, 10751]",260514,en,Cars 3,"Blindsided by a new generation of blazing-fast racers, the legendary Lightning McQueen is suddenly pushed out of the sport he loves. To get back in the game, he will need the help of an eager young race technician with her own plan to win, inspiration from the late Fabulous Hudson Hornet, and a few unexpected turns. Proving that #95 isn't through yet will test the heart of a champion on Piston Cup Racing’s biggest stage!",29.586654,/fyy1nDC8wm553FCiBDojkJmKLCs.jpg,2017-06-15,Cars 3,False,6.8,1441
2,False,/nF4kmc4gDRQU4OJiJgk6sZtbJbl.jpg,[18],312221,en,Creed,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",30.031372,/hKzhV274pkZBSpXfCjUyzbyYKLl.jpg,2015-11-25,Creed,False,7.3,2569
3,False,/eR5335pOlOpY0sNsmKmuJJG4MnU.jpg,"[35, 18, 36]",369192,en,Battle of the Sexes,The true story of the 1973 tennis match between World number one Billie Jean King and ex-champ and serial hustler Bobby Riggs.,15.467041,/fWy0A3VojTCb0S2MKtEJjpquubF.jpg,2017-09-22,Battle of the Sexes,False,7.0,516
4,False,/rfhnEYubWD4hnUUm8xXmotpqffb.jpg,"[28, 12, 18, 10751]",38575,en,The Karate Kid,"12-year-old Dre Parker could have been the most popular kid in Detroit, but his mother's latest career move has landed him in China. Dre immediately falls for his classmate Mei Ying but the cultural differences make such a friendship impossible. Even worse, Dre's feelings make him an enemy of the class bully, Cheng. With no friends in a strange land, Dre has nowhere to turn but maintenance man Mr. Han, who is a kung fu master. As Han teaches Dre that kung fu is not about punches and parries, but maturity and calm, Dre realizes that facing down the bullies will be the fight of his life.",13.104559,/l13emtM0cz0HyJeWSxb6ml5RvzT.jpg,2010-06-10,The Karate Kid,False,6.2,2108
5,False,,[18],480530,en,Creed II,"Follows Adonis Creed’s life inside and outside of the ring as he deals with new found fame, issues with his family, and his continuing quest to become a champion.",7.824427,/AlNeuM1oMTvlQnredazHIkowSEj.jpg,2018-11-21,Creed II,False,0.0,0
6,False,/t3Y0rPTraupA90fo8o5g64FiuCC.jpg,"[28, 18]",59440,en,Warrior,"The inspirational story of an estranged family that finds redemption in the unlikeliest of places…the MMA ring. Tommy Riordan (Tom Hardy), an ex-marine with a tragic past, returns home and enlists his father (Nick Nolte), a recovering alcoholic and former wrestling coach, to train him for “Sparta”, the biggest MMA tournament ever held. But when Tommy’s underdog brother, Brendan (Joel Edgerton), fights his way into the tournament, the two brothers must finally confront each other and the forces that pulled them apart. What ensues is the most gut-wrenching, soul-stirring, and unforgettable battle of their lives.",19.846758,/qzeShckQ34eJJFQ24dTx9QI8kcS.jpg,2011-09-09,Warrior,False,7.7,1589
7,False,/mFCEeEjRfU2WU9vv5ApXJLzKxy7.jpg,[18],360814,hi,दंगल,"Dangal is an extraordinary true story based on the life of Mahavir Singh and his two daughters, Geeta and Babita Phogat. The film traces the inspirational journey of a father who trains his daughters to become world class wrestlers.",8.534841,/5PDT64gtbmH10gK5AYR7LZh5PQk.jpg,2016-12-23,Dangal,False,8.0,206
8,False,/a1MlbLBk5Sy6YvMbSuKfwGlDVlb.jpg,"[16, 12, 35, 10751]",920,en,Cars,"Lightning McQueen, a hotshot rookie race car driven to succeed, discovers that life is about the journey, not the finish line, when he finds himself unexpectedly detoured in the sleepy Route 66 town of Radiator Springs. On route across the country to the big Piston Cup Championship in California to compete against two seasoned pros, McQueen gets to know the town's offbeat characters.",28.336882,/5damnMcRFKSjhCirgX3CMa88MBj.jpg,2006-06-08,Cars,False,6.6,5064
9,False,/dztyK9ANihFQjgMshT6czMyQio2.jpg,[35],10663,en,The Waterboy,Bobby Boucher is a water boy for a struggling college football team. The coach discovers Boucher's hidden rage makes him a tackling machine whose bone-crushing power might vault his team into the playoffs.,9.020456,/wZKa2NZgEKJ85NoO2cQ7xzj8eBn.jpg,1998-11-06,The Waterboy,False,5.9,619
10,False,/2wnuDWdkLUNdqVNC5PN1AXArrzt.jpg,[18],425373,en,The Miracle Season,"After the tragic death of star volleyball player Caroline ""Line"" Found, a team of dispirited high school girls must band together under the guidance of their tough-love coach in hopes of winning the state championship.",5.144584,/8pIRi67oPq91CnkRUwl9PWiYZKA.jpg,2018-04-13,The Miracle Season,False,0.0,2
11,False,/2kkyt0FLROrXt41IgSdE7goCFNQ.jpg,[18],1366,en,Rocky,"When world heavyweight boxing champion, Apollo Creed wants to give an unknown fighter a shot at the title as a publicity stunt, his handlers choose palooka Rocky Balboa, an uneducated collector for a Philadelphia loan shark. Rocky teams up with trainer  Mickey Goldmill to make the most of this once in a lifetime break.",26.753792,/9TUR3s1PMJHwDRbpm7PWQ0S7IRy.jpg,1976-11-21,Rocky,False,7.6,2422
